team,n_players,fbref_coverage,squad_avg_age,squad_avg_caps,squad_total_goals_intl,avg_goals_per90,sum_goals_per90,top3_goals_per90,avg_assists_per90,sum_assists_per90,top3_assists_per90,avg_goals_scored,sum_goals_scored,top3_goals_scored,avg_assists,sum_assists,top3_assists,avg_minutes_played,sum_minutes_played,top3_minutes_played,avg_matches_played,sum_matches_played,top3_matches_played,avg_yellow_cards,sum_yellow_cards,top3_yellow_cards,avg_red_cards,sum_red_cards,top3_red_cards,avg_shots_per90,sum_shots_per90,top3_shots_per90,avg_shots_on_target,sum_shots_on_target,top3_shots_on_target,fifa_rank,fifa_points
Norway,29,0.66,26.82758620689655,30.344827586206897,129,0.14368421052631578,2.73,0.57,0.11368421052631579,2.16,0.41,3.210526315789474,61.0,15.0,2.3157894736842106,44.0,9.666666666666666,1516.5263157894738,28814.0,2826.6666666666665,22.0,418.0,35.0,2.6315789473684212,50.0,8.0,0.10526315789473684,2.0,0.6666666666666666,24.68421052631579,469.0,85.0,9.526315789473685,181.0,38.0,,
Senegal,27,0.74,26.814814814814813,36.77777777777778,131,0.146,2.92,0.5733333333333334,0.086,1.72,0.21,2.3,46.0,8.0,1.65,33.0,4.333333333333333,1653.5,33070.0,2748.0,22.85,457.0,32.0,3.1,62.0,7.666666666666667,0.2,4.0,1.3333333333333333,19.65,393.0,45.0,7.25,145.0,22.333333333333332,17.0,1498.0
Algeria,26,0.38,26.846153846153847,28.384615384615383,116,0.176,1.76,0.4033333333333333,0.10800000000000001,1.08,0.19000000000000003,3.1,31.0,7.0,1.8,18.0,3.3333333333333335,1607.7,16077.0,2087.6666666666665,23.9,239.0,29.0,3.6,36.0,6.666666666666667,0.0,0.0,0.0,26.6,266.0,50.666666666666664,9.1,91.0,17.666666666666668,,
Argentina,28,0.71,29.035714285714285,48.32142857142857,235,0.11800000000000002,2.3600000000000003,0.4366666666666667,0.096,1.92,0.24,2.6,52.0,10.666666666666666,2.1,42.0,5.666666666666667,1779.9,35598.0,3079.3333333333335,24.55,491.0,36.666666666666664,4.45,89.0,9.666666666666666,0.4,8.0,1.6666666666666667,23.6,472.0,72.0,8.45,169.0,30.333333333333332,4.0,1761.0
Austria,28,0.64,28.607142857142858,39.535714285714285,159,0.11611111111111111,2.09,0.3466666666666667,0.08333333333333333,1.5,0.28333333333333327,1.7222222222222223,31.0,4.666666666666667,1.7777777777777777,32.0,6.666666666666667,1592.888888888889,28672.0,2875.0,23.944444444444443,431.0,34.333333333333336,4.111111111111111,74.0,8.666666666666666,0.16666666666666666,3.0,1.0,16.555555555555557,298.0,36.666666666666664,5.388888888888889,97.0,14.0,,
Jordan,26,0.04,28.346153846153847,40.88461538461539,92,0.24,0.24,0.24,0.24,0.24,0.24,6.0,6.0,6.0,6.0,6.0,6.0,2212.0,2212.0,2212.0,33.0,33.0,33.0,4.0,4.0,4.0,0.0,0.0,0.0,64.0,64.0,64.0,23.0,23.0,23.0,39.0,1176.0
Colombia,27,0.33,30.22222222222222,39.148148148148145,108,0.1,0.9,0.26,0.10555555555555556,0.95,0.25,2.5555555555555554,23.0,7.0,2.6666666666666665,24.0,7.0,1782.6666666666667,16044.0,2523.3333333333335,24.88888888888889,224.0,32.666666666666664,4.555555555555555,41.0,7.0,0.3333333333333333,3.0,1.0,21.88888888888889,197.0,44.333333333333336,7.555555555555555,68.0,18.666666666666668,16.0,1505.0
DR Congo,27,0.37,29.296296296296298,31.14814814814815,86,0.084,0.8400000000000001,0.25666666666666665,0.028000000000000004,0.28,0.09333333333333334,0.6,6.0,1.6666666666666667,0.4,4.0,1.3333333333333333,960.0,9600.0,2057.0,15.7,157.0,27.333333333333332,2.8,28.0,5.666666666666667,0.2,2.0,0.6666666666666666,7.4,74.0,17.666666666666668,2.8,28.0,6.333333333333333,44.0,1109.0
Portugal,27,0.63,28.037037037037038,44.370370370370374,259,0.18058823529411763,3.07,0.41333333333333333,0.16588235294117645,2.82,0.4266666666666667,3.7058823529411766,63.0,8.666666666666666,4.0,68.0,11.333333333333334,2096.823529411765,35646.0,2932.3333333333335,29.352941176470587,499.0,36.0,3.7058823529411766,63.0,6.666666666666667,0.17647058823529413,3.0,1.0,36.470588235294116,620.0,74.33333333333333,12.0,204.0,24.333333333333332,7.0,1638.0
Uzbekistan,26,0.04,28.5,34.73076923076923,127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1432.0,1432.0,1432.0,21.0,21.0,21.0,2.0,2.0,2.0,0.0,0.0,0.0,7.0,7.0,7.0,1.0,1.0,1.0,41.0,1154.0
Croatia,27,0.63,27.88888888888889,43.148148148148145,154,0.20941176470588235,3.56,0.5733333333333334,0.12411764705882353,2.11,0.3733333333333333,4.764705882352941,81.0,14.0,1.8235294117647058,31.0,4.333333333333333,1951.9411764705883,33183.0,2966.3333333333335,28.647058823529413,487.0,36.333333333333336,3.411764705882353,58.0,8.333333333333334,0.058823529411764705,1.0,0.3333333333333333,29.529411764705884,502.0,72.66666666666667,10.470588235294118,178.0,31.0,13.0,1527.0
England,28,0.93,27.178571428571427,31.714285714285715,153,0.18346153846153845,4.77,0.7600000000000001,0.0953846153846154,2.4800000000000004,0.25,4.576923076923077,119.0,20.666666666666668,2.269230769230769,59.0,6.0,2033.923076923077,52882.0,3360.3333333333335,27.115384615384617,705.0,37.666666666666664,3.3461538461538463,87.0,9.333333333333334,0.11538461538461539,3.0,1.0,32.0,832.0,95.33333333333333,12.76923076923077,332.0,45.666666666666664,5.0,1680.0
Ghana,27,0.52,27.037037037037038,22.037037037037038,70,0.09642857142857143,1.35,0.37666666666666665,0.05071428571428572,0.7100000000000001,0.16333333333333333,1.7142857142857142,24.0,6.666666666666667,1.0,14.0,3.6666666666666665,1377.9285714285713,19291.0,2365.3333333333335,20.5,287.0,29.666666666666668,3.0714285714285716,43.0,7.0,0.07142857142857142,1.0,0.3333333333333333,16.285714285714285,228.0,46.666666666666664,6.0,84.0,20.333333333333332,,
Panama,26,0.04,30.384615384615383,59.26923076923077,126,0.18,0.18,0.18,0.09,0.09,0.09,2.0,2.0,2.0,1.0,1.0,1.0,989.0,989.0,989.0,16.0,16.0,16.0,4.0,4.0,4.0,0.0,0.0,0.0,9.0,9.0,9.0,2.0,2.0,2.0,,
